video_link,video_views,video_title,channel_url,creator_name,creator_gender,total_channel_subcribers,total_channel_views,duration_of_video,duration_in_seconds,date_of_video_upload,no_of_likes,language_of_the_video,subtitle,video_description,hashtags,no_of_comments,date_of_the_last_comment,maximum_quality_of_the_video,no_of_videos_the_channel,no_of_playlist,premiered_or_not,community_engagement_(posts_per_week),intern_who_collected_the_data,duration_in_minutes,upload_year,upload_month,upload_weekday,length_category
https://www.youtube.com/watch?v=KZ_LG8obeYg,1457960,Calm Down (Behind The Scenes),Selena Gomez - YouTube,Selena Gomez,Female,31300000,11712643695,00:02:39,159,2022-09-21,28000,English,no,Yes,0,1600,2022-09-21,1080p,370,3,No,0,Rahul Singh,3,2022,September,Wednesday,Short
https://www.youtube.com/watch?v=lAs_ZNuRfZw,31494,ALL NEW TRIUMPH TIGER 1200 RALLY PRO 2022,https://www.youtube.com/c/ArtofMotorcycles,Murthaza Junaid,Male,195000,12990115,00:12:32,752,2022-05-25,1400,Hindi,no,Yes,0,63,2022-05-25,1440p,336,25,No,0,Akhil Teja,13,2022,May,Wednesday,Medium
https://www.youtube.com/watch?v=ld0fYvOi0DQ,103623,Operation Wild Tusker-Abhimanyu Rescue operation in 2018,https://www.youtube.com/channel/UC0_708wMGk6oaJsiPShujNg,Wild Tusker Sakrebylu,Company,77200,30975076,00:02:08,128,2022-04-02,785,Kannada,no,Yes,1,0,2022-04-02,1080p,550,16,No,0,Akhil Teja,2,2022,April,Saturday,Supershort
https://www.youtube.com/watch?v=leHvmVWL8iA,8322213,15 Things Humans Were Never Meant To See,https://www.youtube.com/c/TopGenerality,Top Generality,Company,255000,88270678,00:17:09,1029,2022-11-03,48000,English,yes,Yes,0,1827,2022-11-03,1080p,155,1,No,0,prateek,17,2022,November,Thursday,Medium
https://www.youtube.com/watch?v=LHwQCuNFzUk,1213082,Getting back to my Cockpit,https://www.youtube.com/c/FlyingBeast320,Flying Beast,Male,7690000,3174524348,00:09:24,564,2022-09-11,88000,Hindi,no,Yes,0,2464,2022-09-11,1080p,1209,9,No,1,Akhil Teja,9,2022,September,Sunday,Short
https://www.youtube.com/watch?v=LJ7k_dO7unc,3168425,Charades & FIFA with Virat feat RCB,All India Bakchod - YouTube,All India Bakchod,Company,39900000,602900852,00:10:10,610,2018-05-06,83000,Hindi,yes,Yes,0,1630,2018-05-06,1080p,157,18,No,0,Rahul Singh,10,2018,May,Sunday,Short
https://www.youtube.com/watch?v=lkT2g14LaGU,27580,Namgella Yaar Beeltara || Muddu Kumar,https://www.youtube.com/channel/UCf6G4DxJ17OUWqvYWUl08Hw,VickyPedia Kannada,Male,10600,422196,00:01:03,63,2022-09-09,868000,Kannada,yes,No,0,33,2022-09-09,1080p,40,16,Yes,0,Akhil Teja,1,2022,September,Friday,Supershort
https://www.youtube.com/watch?v=LndU1nlPQ80,581716,https://www.youtube.com/watch?v=LndU1nlPQ80,Business Insider - YouTube,Business Insider,Company,68700000,3139694002,00:16:02,962,2022-09-15,7600,English,yes,Yes,3,677,2022-09-15,1080p,5322,77,No,13,Rahul Singh,16,2022,September,Thursday,Medium
https://www.youtube.com/watch?v=lP14CoCshlQ,6924168,"I Built my ULTIMATE Dream $20,000 Gaming & Streaming Setup!",Designs By IFR - YouTube,Corey,Male,584000,86648666,00:37:04,2224,2021-05-16,167000,English,yes,Yes,0,5100,2021-05-16,2160p,757,13,No,0,Rahul Singh,37,2021,May,Sunday,Long
https://www.youtube.com/watch?v=LsV5JLIO_ok,452984,Gotham Knights | Official Villains Trailer | D,DC - YouTube,DC,Company,41000000,1704720633,00:02:33,153,2022-08-24,15000,English,yes,Yes,3,1100,2022-08-24,1080p,3574,140,No,0,Rahul Singh,3,2022,August,Wednesday,Short
https://www.youtube.com/watch?v=LVDUbfdfBPk,12316248,The Crew - Launch Trailer,https://www.youtube.com/c/Ubisoft,Ubisoft,Company,3440000,1188188358,00:03:17,197,2014-12-01,98000,English,yes,Yes,0,3908,2014-12-01,1080p,11293,206,No,2,Syed safdar,3,2014,December,Monday,Short
https://www.youtube.com/watch?v=LvXr-P50VGo,37057,Roger Federer announces tennis retirement: 'Bittersweet decision',https://www.youtube.com/c/guardiansport,Guardian Sport,Company,122000,122754678,00:04:38,278,2022-09-15,553,English,yes,Yes,3,73,2022-09-15,1080p,1272,44,No,1,Syed safdar,5,2022,September,Thursday,Short
https://www.youtube.com/watch?v=LZ1FS82P0QA,7095,BREATHING TECHNIQUE || workout series,https://www.youtube.com/c/FitPanda,Vishwa Bharath,Male,5240,117977,00:08:01,481,2022-06-07,297000,Telugu,no,Yes,0,23,2022-06-07,1080p,75,2,No,0,Akhil Teja,8,2022,June,Tuesday,Short
https://www.youtube.com/watch?v=m4Dcms0k8qk,4005974,US Testing its New Gigantic $13 Billion Aircraft Carrier,https://www.youtube.com/channel/UC_Se32jLBjnOuftl1u3zfLw,Fluctus,Company,652000,121511926,00:08:16,496,2022-05-23,12000,English,yes,Yes,0,583,2022-05-23,1080p,155,0,No,0,prateek,8,2022,May,Monday,Short
https://www.youtube.com/watch?v=m7Bc3pLyij0,1017579571,Marshmello ft. Bastille - Happier,Marshmello - YouTube,Marshmello,Male,55900000,13620344429,00:03:53,233,2018-09-24,1300000,English,yes,Yes,3,7380000,2018-09-24,1080p,414,31,Yes,0,Rahul Singh,4,2018,September,Monday,Short
https://www.youtube.com/watch?v=mA8pNpPvrr0,3455312,Dark Web: The Unseen Side of The Internet,Aperture - YouTube,Aperture,Male,16000000,116090698,00:17:28,1048,2019-10-26,63000,English,yes,Yes,0,5642,2019-10-26,2160p,145,4,No,3,Rahul Singh,17,2019,October,Saturday,Medium
https://www.youtube.com/watch?v=MDymZD_FkCc,123685,Lets party in new home | Chukka Chindhu,https://www.youtube.com/c/AmericaChowrasta,America Chowrasta,Male,29900,5909728,00:12:59,779,2022-06-23,2500,Telugu,no,Yes,1,581,2022-06-23,2160p,104,8,No,1,Akhil Teja,13,2022,June,Thursday,Medium
https://www.youtube.com/watch?v=Mf75YbFN2Sk,61215,"Vilen ?? ?? ???? Kaare Hathiyar ?? ???? ???? ?? ?????, ???? ?? ??? ?? Vilen ???? ?? ???? | ENT LIVE",https://www.youtube.com/channel/UCn0M8BcDRGW5ya78cOgzOeA,Entertainment Live,Female,15600,2739511,00:13:50,830,2022-05-08,1800,Hindi,no,Yes,6,60,2022-05-08,1080p,1118,15,Yes,143,prateek,14,2022,May,Sunday,Medium
https://www.youtube.com/watch?v=MFO6OtnmEDo,1191210,Money: Humanity's Biggest Illusion,Aperture - YouTube,Aperture,Male,16000000,116090698,00:17:52,1072,2021-09-24,47000,English,yes,Yes,0,4078,2021-09-24,2160p,145,4,No,3,Rahul Singh,18,2021,September,Friday,Medium
https://www.youtube.com/watch?v=mGTc2xWTjXw,307584,New Bentley Continental GT Speed,Supercar Blondie - YouTube,Alex Hirschi,Female,97000000,1996301312,00:08:51,531,2022-09-21,7500,English,yes,Yes,0,1263,2022-09-21,1080p,592,26,No,2,Rahul Singh,9,2022,September,Wednesday,Short
https://www.youtube.com/watch?v=MlsfIhhGwcw,51658,Forged in Fire: Top 5 DEADLIEST Icebreakers!,https://www.youtube.com/c/forgedinfire,Forged in Fire,Company,403000,93918563,00:29:10,1750,2022-02-27,938,English,yes,Yes,1,39,2022-02-27,1080p,237,21,No,1,Syed safdar,29,2022,February,Sunday,Medium
https://www.youtube.com/watch?v=mQv2tp7bjX8,15649,Why We Believe Everyone Must Trek,https://www.youtube.com/user/Indiahikes,Indiahikes,Male,99800,9660209,00:04:14,254,2021-10-14,753,English,no,Yes,0,35,2021-10-14,1080p,640,64,No,1,Akhil Teja,4,2021,October,Thursday,Short
https://www.youtube.com/watch?v=mr7FXvTSYpA,10183355,The Most Advanced Civilization In The Universe,Aperture - YouTube,Aperture,Male,16000000,116090698,00:08:31,511,2017-07-09,21000,English,yes,Yes,0,21778,2017-07-09,2160p,145,4,No,3,Rahul Singh,9,2017,July,Sunday,Short
